"","matchid","pep_effect"
"1","83591",0.0170925184810523
"2","275892",-0.0171895729064035
"3","2867626",0.134515851559957
"4","3382417",-0.0164244222196102
"5","7345335",0.00577224180589914
"6","10938881",-0.0962702586043387
"7","24751631",-0.00616463817755598
"8","29010900",0.00785806369849157
"9","39751531",0.0566368434381712
"10","40876045",-0.0309194431549868
"11","48686046",0.0393154830330628
"12","57884056",-0.0518862500176077
"13","63041883",-0.109808896400656
"14","67371067",0.10267111080682
"15","74012067",-0.0134139353917442
"16","74872572",-0.0396065074612473
"17","76115336",0.233673534123175
"18","76887406",0.126017581654902
"19","88133027",-0.0262954906333213
"20","96914925",-0.0790064519105158
"21","97298681",0.0371131731200094
"22","100968012",-0.0304574611312616
"23","108699055",-0.0811222781864802
"24","110807250",0.254326858136976
"25","115961723",0.214722808541859
"26","120233077",0.0507137008791462
"27","130492680",0.0562412682704401
"28","133281312",0.113752411453848
"29","141293910",-0.0144183807866893
"30","145413863",0.0396597685668174
"31","147571989",0.136850977156119
"32","163596092",0.146681722114208
"33","174562712",-0.0380464684245627
"34","175257178",-0.0647040088548872
"35","181520921",0.0410133577682178
"36","183186804",-0.0215016285906248
"37","183467112",-0.0145749662244756
"38","186223475",0.104540588658582
"39","191299942",-0.10073248989118
"40","216966369",0.163493548167685
"41","223625087",0.109150911996157
"42","227144025",0.0977295400582075
"43","232733207",0.171433451983914
"44","244860543",0.000745643108107152
"45","247119569",-0.0572528752283163
"46","255622699",-0.106949851595091
"47","255906801",0.0313425116842848
"48","255929172",0.0201655047090681
"49","261543353",-0.070153104137568
"50","275338431",0.0129040714976768
"51","278379036",-0.039244134365798
"52","286343599",0.244223861063805
"53","289160450",0.129071233193548
"54","291015871",0.120256843658331
"55","293927004",-0.0195649250040663
"56","296207103",-0.0669639971696866
"57","304252289",-0.0445652709689886
"58","304397572",-0.100176853751182
"59","305011133",0.161407732821747
"60","311917930",0.0363779090508801
"61","328123574",0.0635772103969685
"62","330307242",-0.0888092651051177
"63","336523009",0.0433930230224113
"64","340651994",0.117113132119314
"65","345373818",-0.00304890632070818
"66","348736890",-0.144092795492859
"67","354986609",-0.0913475002435754
"68","355004894",0.126563508725459
"69","361833718",0.131374000255855
"70","363559035",0.0905045664031313
"71","368109450",0.20792026243463
"72","377020925",0.026116339486411
"73","382275447",0.026248591281814
"74","384286714",-0.00793203528191416
"75","389246555",-0.00252799214350191
"76","391113129",0.031387875539794
"77","392811318",-0.021408674654649
"78","412386934",-0.0358340227323341
"79","413029512",-0.0737850491619469
"80","423666532",-0.0173889499759566
"81","426337062",0.0201834748968642
"82","427741988",0.00909040233083688
"83","434497291",-0.0128809277519689
"84","444604949",0.0111889309242878
"85","452517223",-0.0328522490136883
"86","465475172",0.0780189167750805
"87","466545936",0.0113506389590933
"88","468200672",-0.0987043971104559
"89","480764960",0.0447432665667898
"90","485492210",-0.0344066237723844
"91","498769973",0.0486383399902685
"92","498827597",-0.0324835712536402
"93","509671328",-0.0228480265328626
"94","528388454",-0.00646143268289051
"95","528468166",-0.0789809002857874
"96","531465430",0.183489599216391
